,position,company,status,listed,job_url,company_url
10,marketing coordinator,Monte Cristo Bakery,"Delta, British Columbia, Canada",Be an early applicant,https://ca.linkedin.com/jobs/view/marketing-coordinator-at-monte-cristo-bakery-4228904842?position=1&pageNum=1&refId=HaXqtCaTf7nn%2BdrXkfsmKg%3D%3D&trackingId=pNCMus2yWuZOgjmmyQQ8UQ%3D%3D,https://ca.linkedin.com/company/montecristobakery?trk=public_jobs_jserp-result_job-search-card-subtitle
11,"Director, Social Media & Content",Canucks Sports & Entertainment (CSE),"Vancouver, British Columbia, Canada",1 week ago,https://ca.linkedin.com/jobs/view/director-social-media-content-at-canucks-sports-entertainment-cse-4229505081?position=2&pageNum=1&refId=HaXqtCaTf7nn%2BdrXkfsmKg%3D%3D&trackingId=KaEUiswdaAUv18BXySooDA%3D%3D,https://ca.linkedin.com/company/canucks-sports-&-entertainment?trk=public_jobs_jserp-result_job-search-card-subtitle
12,Communications & Public Relations Lead,Vancouver Aboriginal Child and Family Services Society,"Vancouver, British Columbia, Canada",Be an early applicant,https://ca.linkedin.com/jobs/view/communications-public-relations-lead-at-vancouver-aboriginal-child-and-family-services-society-4219962813?position=3&pageNum=1&refId=HaXqtCaTf7nn%2BdrXkfsmKg%3D%3D&trackingId=hVj7GpV34DknwZisLN3uwA%3D%3D,https://ca.linkedin.com/company/vancouver-aboriginal-child-and-family-services-society?trk=public_jobs_jserp-result_job-search-card-subtitle
13,administrative assistant - office,CVC Sling Shot Transportation Inc,"Delta, British Columbia, Canada",Be an early applicant,https://ca.linkedin.com/jobs/view/administrative-assistant-office-at-cvc-sling-shot-transportation-inc-4231055070?position=4&pageNum=1&refId=HaXqtCaTf7nn%2BdrXkfsmKg%3D%3D&trackingId=QT2Epv6gT5%2BIA4LyDRPs5g%3D%3D,https://ca.linkedin.com/company/cvc-sling-shot-transportation-inc?trk=public_jobs_jserp-result_job-search-card-subtitle
14,"Office Manager, Child Safety",Vancouver Aboriginal Child and Family Services Society,"Vancouver, British Columbia, Canada",Be an early applicant,https://ca.linkedin.com/jobs/view/office-manager-child-safety-at-vancouver-aboriginal-child-and-family-services-society-4199205315?position=5&pageNum=1&refId=HaXqtCaTf7nn%2BdrXkfsmKg%3D%3D&trackingId=lfYpITEaUs1SkXRLODaHuA%3D%3D,https://ca.linkedin.com/company/vancouver-aboriginal-child-and-family-services-society?trk=public_jobs_jserp-result_job-search-card-subtitle
15,Part-Time Casual Shooter/Editor,Rogers TV,"Vancouver, British Columbia, Canada",Be an early applicant,https://ca.linkedin.com/jobs/view/part-time-casual-shooter-editor-at-rogers-tv-4211182921?position=6&pageNum=1&refId=HaXqtCaTf7nn%2BdrXkfsmKg%3D%3D&trackingId=R7PqtubQpsXO3AKs7C8Q9Q%3D%3D,https://ca.linkedin.com/company/rogerstv?trk=public_jobs_jserp-result_job-search-card-subtitle
16,Vancouver | Production Assistant,TRACK VFX,"Vancouver, British Columbia, Canada",2 weeks ago,https://ca.linkedin.com/jobs/view/vancouver-production-assistant-at-track-vfx-4224563206?position=7&pageNum=1&refId=HaXqtCaTf7nn%2BdrXkfsmKg%3D%3D&trackingId=I9wVB%2BWls9YY21aeUybAzA%3D%3D,https://ca.linkedin.com/company/trackvfx?trk=public_jobs_jserp-result_job-search-card-subtitle
17,"Expression of Interest - Feature Animation, Compositing, Vancouver",Netflix,"Vancouver, British Columbia, Canada",Actively Hiring,https://ca.linkedin.com/jobs/view/expression-of-interest-feature-animation-compositing-vancouver-at-netflix-4168534879?position=8&pageNum=1&refId=HaXqtCaTf7nn%2BdrXkfsmKg%3D%3D&trackingId=pZQKtp13dvsDPYEtqewZNQ%3D%3D,https://www.linkedin.com/company/netflix?trk=public_jobs_jserp-result_job-search-card-subtitle
18,process control operator - food and beverage processing,Hon's Wun-Tun House (2011) Ltd.,"Richmond, British Columbia, Canada",Be an early applicant,https://ca.linkedin.com/jobs/view/process-control-operator-food-and-beverage-processing-at-hon-s-wun-tun-house-2011-ltd-4224334769?position=9&pageNum=1&refId=HaXqtCaTf7nn%2BdrXkfsmKg%3D%3D&trackingId=WQgbNoxtKbG80VLWdU56XA%3D%3D,https://ca.linkedin.com/company/hon-s-wun-tun-house-2011-ltd?trk=public_jobs_jserp-result_job-search-card-subtitle
19,"Manager, Quick Service Operations",Canucks Sports & Entertainment (CSE),"Vancouver, British Columbia, Canada",Be an early applicant,https://ca.linkedin.com/jobs/view/manager-quick-service-operations-at-canucks-sports-entertainment-cse-4233452099?position=10&pageNum=1&refId=HaXqtCaTf7nn%2BdrXkfsmKg%3D%3D&trackingId=JlOhMBzYYaEnpgyzT1SJsQ%3D%3D,https://ca.linkedin.com/company/canucks-sports-&-entertainment?trk=public_jobs_jserp-result_job-search-card-subtitle
20,Supply Chain Analyst Coordinator,Central City Brewers + Distillers,"Surrey, British Columbia, Canada",3 weeks ago,https://ca.linkedin.com/jobs/view/supply-chain-analyst-coordinator-at-central-city-brewers-%2B-distillers-4224063287?position=1&pageNum=2&refId=FX0qbTdhOswAnNcn9H68Rg%3D%3D&trackingId=xBMyOWOddjnySD20qTBX3Q%3D%3D,https://ca.linkedin.com/company/central-city-brewers-distillers?trk=public_jobs_jserp-result_job-search-card-subtitle
21,Real Estate Coordinator,Vancouver Airport Authority,"Vancouver, British Columbia, Canada",Actively Hiring,https://ca.linkedin.com/jobs/view/real-estate-coordinator-at-vancouver-airport-authority-4178515623?position=2&pageNum=2&refId=FX0qbTdhOswAnNcn9H68Rg%3D%3D&trackingId=NbsvrjPpOyIJVBlBf%2BeCIw%3D%3D,https://ca.linkedin.com/company/vancouver-airport-authority?trk=public_jobs_jserp-result_job-search-card-subtitle
22,Project Coordinator - Environment,JDS Group of Companies,"Vancouver, British Columbia, Canada",Be an early applicant,https://ca.linkedin.com/jobs/view/project-coordinator-environment-at-jds-group-of-companies-4205449678?position=3&pageNum=2&refId=FX0qbTdhOswAnNcn9H68Rg%3D%3D&trackingId=VIaa0sW%2FDeVqqEAfoZn0Pg%3D%3D,https://ca.linkedin.com/company/jdsgroupofcompanies?trk=public_jobs_jserp-result_job-search-card-subtitle
23,Influencer Talent Manager,Grail Talent,"Vancouver, British Columbia, Canada",Be an early applicant,https://ca.linkedin.com/jobs/view/influencer-talent-manager-at-grail-talent-4215250456?position=4&pageNum=2&refId=FX0qbTdhOswAnNcn9H68Rg%3D%3D&trackingId=psYNXLjZiWgTxu6fSKq2CQ%3D%3D,https://uk.linkedin.com/company/grail-talent?trk=public_jobs_jserp-result_job-search-card-subtitle
24,"Warehouse Customer Service (Full Time), Vancouver, BC",IDN-Canada,"Vancouver, British Columbia, Canada",Be an early applicant,https://ca.linkedin.com/jobs/view/warehouse-customer-service-full-time-vancouver-bc-at-idn-canada-4218024646?position=5&pageNum=2&refId=FX0qbTdhOswAnNcn9H68Rg%3D%3D&trackingId=4RXa0aNofit472fdxoNVdQ%3D%3D,https://ca.linkedin.com/company/idn-canada?trk=public_jobs_jserp-result_job-search-card-subtitle
25,Video Journalist,Rogers TV,"Vancouver, British Columbia, Canada",Be an early applicant,https://ca.linkedin.com/jobs/view/video-journalist-at-rogers-tv-4216104531?position=6&pageNum=2&refId=FX0qbTdhOswAnNcn9H68Rg%3D%3D&trackingId=qAuRg4dlqda448mCaooDuw%3D%3D,https://ca.linkedin.com/company/rogerstv?trk=public_jobs_jserp-result_job-search-card-subtitle
26,"Purchase - Inventory Coordinator, FTR",Metro Vancouver Transit Police,"Vancouver, British Columbia, Canada",1 week ago,https://ca.linkedin.com/jobs/view/purchase-inventory-coordinator-ftr-at-metro-vancouver-transit-police-4232024711?position=7&pageNum=2&refId=FX0qbTdhOswAnNcn9H68Rg%3D%3D&trackingId=1y%2BFu8NZnSgKnI7PNJMm%2Bg%3D%3D,https://ca.linkedin.com/company/metro-vancouver-transit-police?trk=public_jobs_jserp-result_job-search-card-subtitle
27,Junior or Intermediate Project Engineer,Vancouver Airport Authority,"Vancouver, British Columbia, Canada",Be an early applicant,https://ca.linkedin.com/jobs/view/junior-or-intermediate-project-engineer-at-vancouver-airport-authority-4207659909?position=8&pageNum=2&refId=FX0qbTdhOswAnNcn9H68Rg%3D%3D&trackingId=jUZaOZDZbqTAdoL%2BIytK%2FQ%3D%3D,https://ca.linkedin.com/company/vancouver-airport-authority?trk=public_jobs_jserp-result_job-search-card-subtitle
28,"Territory Sales Manager- Vancouver, Canada",Anastasia Beverly Hills,"Vancouver, British Columbia, Canada",Be an early applicant,https://ca.linkedin.com/jobs/view/territory-sales-manager-vancouver-canada-at-anastasia-beverly-hills-4191848794?position=9&pageNum=2&refId=FX0qbTdhOswAnNcn9H68Rg%3D%3D&trackingId=RaEEpfUelCCyTIj57D%2BsVQ%3D%3D,https://www.linkedin.com/company/anastasia-beverly-hills?trk=public_jobs_jserp-result_job-search-card-subtitle
29,Design Assistant,lululemon,"Vancouver, British Columbia, Canada",Actively Hiring,https://ca.linkedin.com/jobs/view/design-assistant-at-lululemon-4229718382?position=10&pageNum=2&refId=FX0qbTdhOswAnNcn9H68Rg%3D%3D&trackingId=lYBV16RZqIgh77i43yQCqw%3D%3D,https://ca.linkedin.com/company/lululemon?trk=public_jobs_jserp-result_job-search-card-subtitle
30,"Account Executive, Partnership Marketing",Canucks Sports & Entertainment (CSE),"Vancouver, British Columbia, Canada",Be an early applicant,https://ca.linkedin.com/jobs/view/account-executive-partnership-marketing-at-canucks-sports-entertainment-cse-4222393166?position=1&pageNum=3&refId=Km%2Fs0KpjORyTqTDVg6R%2FTg%3D%3D&trackingId=CfDf3h2F8MX%2BsEN6Ux76Mw%3D%3D,https://ca.linkedin.com/company/canucks-sports-&-entertainment?trk=public_jobs_jserp-result_job-search-card-subtitle
31,Ground Handler,Executive Aviation,"Vancouver, British Columbia, Canada",Be an early applicant,https://ca.linkedin.com/jobs/view/ground-handler-at-executive-aviation-4223224423?position=2&pageNum=3&refId=Km%2Fs0KpjORyTqTDVg6R%2FTg%3D%3D&trackingId=T%2BWi%2B50tg%2FM%2BJLpdV3Zv%2Fw%3D%3D,https://ca.linkedin.com/company/execav?trk=public_jobs_jserp-result_job-search-card-subtitle
32,Customer Service Agent,Executive Aviation,"Vancouver, British Columbia, Canada",2 weeks ago,https://ca.linkedin.com/jobs/view/customer-service-agent-at-executive-aviation-4223221662?position=3&pageNum=3&refId=Km%2Fs0KpjORyTqTDVg6R%2FTg%3D%3D&trackingId=42viqBZpmXBSfv1Pi0xvzg%3D%3D,https://ca.linkedin.com/company/execav?trk=public_jobs_jserp-result_job-search-card-subtitle
33,Talent Acquisition Partner - R&D,Asana,"Vancouver, British Columbia, Canada",Actively Hiring,https://ca.linkedin.com/jobs/view/talent-acquisition-partner-r-d-at-asana-4216738601?position=4&pageNum=3&refId=Km%2Fs0KpjORyTqTDVg6R%2FTg%3D%3D&trackingId=aHFSjUsNZMxlXo6hXl%2FuPQ%3D%3D,https://www.linkedin.com/company/asana?trk=public_jobs_jserp-result_job-search-card-subtitle
34,"Manager, President's Club",Canucks Sports & Entertainment (CSE),"Vancouver, British Columbia, Canada",Be an early applicant,https://ca.linkedin.com/jobs/view/manager-president-s-club-at-canucks-sports-entertainment-cse-4229503312?position=5&pageNum=3&refId=Km%2Fs0KpjORyTqTDVg6R%2FTg%3D%3D&trackingId=nNRsuTW2J%2Bijypat0%2B3Gxw%3D%3D,https://ca.linkedin.com/company/canucks-sports-&-entertainment?trk=public_jobs_jserp-result_job-search-card-subtitle
35,GUCCI Team Manager - Holt Renfrew Vancouver,Gucci,"Vancouver, British Columbia, Canada",Be an early applicant,https://ca.linkedin.com/jobs/view/gucci-team-manager-holt-renfrew-vancouver-at-gucci-4230036123?position=6&pageNum=3&refId=Km%2Fs0KpjORyTqTDVg6R%2FTg%3D%3D&trackingId=jfv9cO5F9stp0yywxdCw%2Bg%3D%3D,https://it.linkedin.com/company/gucci?trk=public_jobs_jserp-result_job-search-card-subtitle
36,Brand Manager - Hybrid Remote,COBS Bread,"Vancouver, British Columbia, Canada",3 weeks ago,https://ca.linkedin.com/jobs/view/brand-manager-hybrid-remote-at-cobs-bread-4225549200?position=7&pageNum=3&refId=Km%2Fs0KpjORyTqTDVg6R%2FTg%3D%3D&trackingId=iMThGjntWQxrDddHB9EX%2Bg%3D%3D,https://ca.linkedin.com/company/cobs-bread?trk=public_jobs_jserp-result_job-search-card-subtitle
37,News Producer,Rogers TV,"Vancouver, British Columbia, Canada",Be an early applicant,https://ca.linkedin.com/jobs/view/news-producer-at-rogers-tv-4198356222?position=8&pageNum=3&refId=Km%2Fs0KpjORyTqTDVg6R%2FTg%3D%3D&trackingId=LpCcoLbo17tD1ebI%2Bhp77A%3D%3D,https://ca.linkedin.com/company/rogerstv?trk=public_jobs_jserp-result_job-search-card-subtitle
38,"Production Coordinator, Visual Pioneering",Scanline VFX,"Vancouver, British Columbia, Canada",3 weeks ago,https://ca.linkedin.com/jobs/view/production-coordinator-visual-pioneering-at-scanline-vfx-4224581937?position=9&pageNum=3&refId=Km%2Fs0KpjORyTqTDVg6R%2FTg%3D%3D&trackingId=fUBAJ05mSzUM4oIwQy3YMQ%3D%3D,https://ca.linkedin.com/company/scanlinevfx?trk=public_jobs_jserp-result_job-search-card-subtitle
39,QA Technician,Central City Brewers + Distillers,"Surrey, British Columbia, Canada",Be an early applicant,https://ca.linkedin.com/jobs/view/qa-technician-at-central-city-brewers-%2B-distillers-4186433484?position=10&pageNum=3&refId=Km%2Fs0KpjORyTqTDVg6R%2FTg%3D%3D&trackingId=Ao0xYa4b%2BAdhwCOCIAmcaw%3D%3D,https://ca.linkedin.com/company/central-city-brewers-distillers?trk=public_jobs_jserp-result_job-search-card-subtitle
40,Brand Manager - Hybrid Remote,COBS Bread,"Vancouver, British Columbia, Canada",3 weeks ago,https://ca.linkedin.com/jobs/view/brand-manager-hybrid-remote-at-cobs-bread-4225549200?position=1&pageNum=4&refId=0JqnOY1F%2FOCYrL4mn%2FuEsw%3D%3D&trackingId=nlf8HeZNeUBKRG114jwOzQ%3D%3D,https://ca.linkedin.com/company/cobs-bread?trk=public_jobs_jserp-result_job-search-card-subtitle
41,News Producer,Rogers TV,"Vancouver, British Columbia, Canada",Be an early applicant,https://ca.linkedin.com/jobs/view/news-producer-at-rogers-tv-4198356222?position=2&pageNum=4&refId=0JqnOY1F%2FOCYrL4mn%2FuEsw%3D%3D&trackingId=%2FXrUJnboeSgq%2BDbA6ArGlA%3D%3D,https://ca.linkedin.com/company/rogerstv?trk=public_jobs_jserp-result_job-search-card-subtitle
42,"Production Coordinator, Visual Pioneering",Scanline VFX,"Vancouver, British Columbia, Canada",3 weeks ago,https://ca.linkedin.com/jobs/view/production-coordinator-visual-pioneering-at-scanline-vfx-4224581937?position=3&pageNum=4&refId=0JqnOY1F%2FOCYrL4mn%2FuEsw%3D%3D&trackingId=PHpqvWyW2qyjZIg%2BNrl1jg%3D%3D,https://ca.linkedin.com/company/scanlinevfx?trk=public_jobs_jserp-result_job-search-card-subtitle
43,QA Technician,Central City Brewers + Distillers,"Surrey, British Columbia, Canada",Be an early applicant,https://ca.linkedin.com/jobs/view/qa-technician-at-central-city-brewers-%2B-distillers-4186433484?position=4&pageNum=4&refId=0JqnOY1F%2FOCYrL4mn%2FuEsw%3D%3D&trackingId=i6riBH8EmLWz1%2FHl6RhO1Q%3D%3D,https://ca.linkedin.com/company/central-city-brewers-distillers?trk=public_jobs_jserp-result_job-search-card-subtitle
44,Marketing Data Analyst,Electronic Arts (EA),"Vancouver, British Columbia, Canada",Be an early applicant,https://ca.linkedin.com/jobs/view/marketing-data-analyst-at-electronic-arts-ea-4222892467?position=5&pageNum=4&refId=0JqnOY1F%2FOCYrL4mn%2FuEsw%3D%3D&trackingId=TmZ5fM2%2Fw3l0Tl14CqOKKA%3D%3D,https://www.linkedin.com/company/electronic-arts?trk=public_jobs_jserp-result_job-search-card-subtitle
45,Office & HR Operations Coordinator,Prenuvo,"Vancouver, British Columbia, Canada",1 month ago,https://ca.linkedin.com/jobs/view/office-hr-operations-coordinator-at-prenuvo-4215961723?position=6&pageNum=4&refId=0JqnOY1F%2FOCYrL4mn%2FuEsw%3D%3D&trackingId=h1Qi2fGpMMT%2B6Hu80hz7lQ%3D%3D,https://www.linkedin.com/company/prenuvo?trk=public_jobs_jserp-result_job-search-card-subtitle
46,Partnership Insights & Strategy Lead,Canucks Sports & Entertainment (CSE),"Vancouver, British Columbia, Canada",Be an early applicant,https://ca.linkedin.com/jobs/view/partnership-insights-strategy-lead-at-canucks-sports-entertainment-cse-4206269230?position=7&pageNum=4&refId=0JqnOY1F%2FOCYrL4mn%2FuEsw%3D%3D&trackingId=eWNbtTP8OCZpZAvPPXq32Q%3D%3D,https://ca.linkedin.com/company/canucks-sports-&-entertainment?trk=public_jobs_jserp-result_job-search-card-subtitle
47,Virtual Production Coordinator,Scanline VFX,"Vancouver, British Columbia, Canada",Be an early applicant,https://ca.linkedin.com/jobs/view/virtual-production-coordinator-at-scanline-vfx-4236124798?position=8&pageNum=4&refId=0JqnOY1F%2FOCYrL4mn%2FuEsw%3D%3D&trackingId=9IdJvgOpsy8SGGid5NKWvg%3D%3D,https://ca.linkedin.com/company/scanlinevfx?trk=public_jobs_jserp-result_job-search-card-subtitle
48,Child and Youth Engagement Lead,Vancouver Aboriginal Child and Family Services Society,"Vancouver, British Columbia, Canada",Be an early applicant,https://ca.linkedin.com/jobs/view/child-and-youth-engagement-lead-at-vancouver-aboriginal-child-and-family-services-society-4199205313?position=9&pageNum=4&refId=0JqnOY1F%2FOCYrL4mn%2FuEsw%3D%3D&trackingId=9%2FnAux4TuV2zUJnR9rFE9A%3D%3D,https://ca.linkedin.com/company/vancouver-aboriginal-child-and-family-services-society?trk=public_jobs_jserp-result_job-search-card-subtitle
49,General Accountant,Central City Brewers + Distillers,"Surrey, British Columbia, Canada",Be an early applicant,https://ca.linkedin.com/jobs/view/general-accountant-at-central-city-brewers-%2B-distillers-4224064199?position=10&pageNum=4&refId=0JqnOY1F%2FOCYrL4mn%2FuEsw%3D%3D&trackingId=2PQTP%2FgrQtyAuoHrsvI0GQ%3D%3D,https://ca.linkedin.com/company/central-city-brewers-distillers?trk=public_jobs_jserp-result_job-search-card-subtitle
50,Junior Designer/ Engineer,Sulzer Services,"Burnaby, British Columbia, Canada",Be an early applicant,https://ca.linkedin.com/jobs/view/junior-designer-engineer-at-sulzer-services-4204605153?position=1&pageNum=5&refId=rUbFYAoyOomUTQT%2F1EjYfA%3D%3D&trackingId=xygslZ4Op0bc9IjvnXRtSA%3D%3D,https://ch.linkedin.com/showcase/sulzer-services/?trk=public_jobs_jserp-result_job-search-card-subtitle
51,Warehouse Customer Support,IDN-Canada,"Burnaby, British Columbia, Canada",Be an early applicant,https://ca.linkedin.com/jobs/view/warehouse-customer-support-at-idn-canada-4230317210?position=2&pageNum=5&refId=rUbFYAoyOomUTQT%2F1EjYfA%3D%3D&trackingId=3BW2x9Pd9b7oM0SidpH8%2BQ%3D%3D,https://ca.linkedin.com/company/idn-canada?trk=public_jobs_jserp-result_job-search-card-subtitle
52,Recruiter,Huawei Canada,"Vancouver, British Columbia, Canada",Actively Hiring,https://ca.linkedin.com/jobs/view/recruiter-at-huawei-canada-4182085039?position=3&pageNum=5&refId=rUbFYAoyOomUTQT%2F1EjYfA%3D%3D&trackingId=1MPm1eploTE40QiaCN%2FMrQ%3D%3D,https://ca.linkedin.com/company/huawei-technologies-canada-co-ltd?trk=public_jobs_jserp-result_job-search-card-subtitle
53,Production Coordinator,Electronic Arts (EA),"Vancouver, British Columbia, Canada",Actively Hiring,https://ca.linkedin.com/jobs/view/production-coordinator-at-electronic-arts-ea-4220232578?position=4&pageNum=5&refId=rUbFYAoyOomUTQT%2F1EjYfA%3D%3D&trackingId=3JwLbWXWy8obnKfwAsOOpg%3D%3D,https://www.linkedin.com/company/electronic-arts?trk=public_jobs_jserp-result_job-search-card-subtitle
54,"Research Associate 2, Biology (In Vivo)",Xenon Pharmaceuticals Inc.,"Vancouver, British Columbia, Canada",4 days ago,https://ca.linkedin.com/jobs/view/research-associate-2-biology-in-vivo-at-xenon-pharmaceuticals-inc-4207672042?position=5&pageNum=5&refId=rUbFYAoyOomUTQT%2F1EjYfA%3D%3D&trackingId=aG5sXJ0a7OTYuXnNMXbQ1A%3D%3D,https://ca.linkedin.com/company/xenonpharma?trk=public_jobs_jserp-result_job-search-card-subtitle
55,Department Assistant,Huawei Canada,"Vancouver, British Columbia, Canada",Actively Hiring,https://ca.linkedin.com/jobs/view/department-assistant-at-huawei-canada-4212334283?position=6&pageNum=5&refId=rUbFYAoyOomUTQT%2F1EjYfA%3D%3D&trackingId=k5FmwcHAkrFokso38ggGZQ%3D%3D,https://ca.linkedin.com/company/huawei-technologies-canada-co-ltd?trk=public_jobs_jserp-result_job-search-card-subtitle
56,Financial Controller,Herschel Supply Company,"Vancouver, British Columbia, Canada",Actively Hiring,https://ca.linkedin.com/jobs/view/financial-controller-at-herschel-supply-company-4181402026?position=7&pageNum=5&refId=rUbFYAoyOomUTQT%2F1EjYfA%3D%3D&trackingId=9XZ6XpL3pJOGxkGvux%2FeHA%3D%3D,https://ca.linkedin.com/company/herschelsupply?trk=public_jobs_jserp-result_job-search-card-subtitle
57,Assistant Store Manager,"GUESS?, Inc.","Richmond, British Columbia, Canada",Be an early applicant,https://ca.linkedin.com/jobs/view/assistant-store-manager-at-guess%3F-inc-4229397148?position=8&pageNum=5&refId=rUbFYAoyOomUTQT%2F1EjYfA%3D%3D&trackingId=Xy230aQdS61hMrLiDXiybg%3D%3D,https://www.linkedin.com/company/guess-?trk=public_jobs_jserp-result_job-search-card-subtitle
58,"Entrepreneur in Residence (Future CEO / Founder) - Vancouver, BC",FutureSight,"Vancouver, British Columbia, Canada",Be an early applicant,https://ca.linkedin.com/jobs/view/entrepreneur-in-residence-future-ceo-founder-vancouver-bc-at-futuresight-4224517250?position=9&pageNum=5&refId=rUbFYAoyOomUTQT%2F1EjYfA%3D%3D&trackingId=%2FSC6Y4pXpD9q%2FsbgAft4DA%3D%3D,https://www.linkedin.com/company/futuresightventures?trk=public_jobs_jserp-result_job-search-card-subtitle
59,Logistics Manager,Thrive Freeze Dry,"Langley, British Columbia, Canada",Be an early applicant,https://ca.linkedin.com/jobs/view/logistics-manager-at-thrive-freeze-dry-4203856664?position=10&pageNum=5&refId=rUbFYAoyOomUTQT%2F1EjYfA%3D%3D&trackingId=TrsXP%2BbTR%2B8nyO7HpeHs1A%3D%3D,https://www.linkedin.com/company/thrivefreezedry?trk=public_jobs_jserp-result_job-search-card-subtitle
